FAVC,FCVC,NCP,CAEC,CH2O,NObeyesdad
no,2,3,Sometimes,2,Normal_Weight
no,3,3,Sometimes,3,Normal_Weight
no,2,3,Sometimes,2,Normal_Weight
no,3,3,Sometimes,2,Overweight_Level_I
no,2,1,Sometimes,2,Overweight_Level_II
yes,2,3,Sometimes,2,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
no,2,3,Sometimes,2,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,3,3,Frequently,3,Obesity_Type_I
yes,2,3,Frequently,2,Overweight_Level_II
no,3,3,Sometimes,3,Normal_Weight
yes,2,3,Sometimes,2,Obesity_Type_I
yes,3,1,Sometimes,1,Normal_Weight
no,3,3,Always,2,Normal_Weight
yes,2,1,Sometimes,1,Overweight_Level_II
yes,2,1,Sometimes,2,Obesity_Type_I
yes,3,4,Frequently,1,Overweight_Level_II
no,2,1,Sometimes,2,Overweight_Level_I
no,2,3,Sometimes,2,Overweight_Level_II
yes,3,1,Sometimes,2,Obesity_Type_I
yes,3,3,Sometimes,2,Normal_Weight
yes,1,1,Sometimes,2,Obesity_Type_I
yes,2,3,Sometimes,2,Normal_Weight
no,2,4,Frequently,2,Normal_Weight
yes,2,1,Frequently,2,Normal_Weight
yes,2,4,Frequently,2,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,1,4,Frequently,3,Overweight_Level_I
no,2,1,Sometimes,1,Overweight_Level_II
no,2,3,Sometimes,3,Normal_Weight
no,2,1,Sometimes,2,Overweight_Level_II
yes,2,4,Frequently,2,Normal_Weight
no,2,3,Sometimes,2,Overweight_Level_II
yes,2,3,Sometimes,1,Normal_Weight
yes,2,3,Sometimes,1,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,3,Overweight_Level_II
yes,2,3,Sometimes,2,Overweight_Level_I
no,2,4,Frequently,2,Normal_Weight
yes,1,3,Sometimes,1,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
no,1,3,no,2,Normal_Weight
no,2,3,Sometimes,1,Overweight_Level_II
yes,1,3,Frequently,3,Normal_Weight
yes,1,3,Frequently,3,Normal_Weight
no,3,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,3,3,Sometimes,3,Normal_Weight
yes,2,3,Sometimes,1,Normal_Weight
yes,3,1,Sometimes,2,Normal_Weight
no,3,3,no,2,Normal_Weight
no,3,4,Always,3,Normal_Weight
no,2,4,Frequently,2,Normal_Weight
yes,2,3,Sometimes,1,Normal_Weight
no,2,3,Sometimes,1,Normal_Weight
yes,3,1,Sometimes,2,Normal_Weight
yes,2,4,Sometimes,3,Insufficient_Weight
yes,2,3,Sometimes,3,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,2,1,no,2,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Frequently,1,Normal_Weight
yes,1,3,Frequently,2,Overweight_Level_I
yes,1,3,Always,2,Overweight_Level_II
yes,2,3,Always,2,Obesity_Type_I
yes,1,3,no,2,Obesity_Type_II
no,2,3,no,3,Normal_Weight
yes,2,3,Always,2,Overweight_Level_II
no,3,3,no,3,Insufficient_Weight
no,2,3,Sometimes,3,Normal_Weight
no,2,3,Sometimes,3,Normal_Weight
yes,2,3,Frequently,3,Overweight_Level_II
no,3,3,Sometimes,3,Insufficient_Weight
no,2,3,no,2,Insufficient_Weight
yes,2,3,Sometimes,3,Overweight_Level_II
yes,2,3,Sometimes,3,Obesity_Type_I
no,2,3,Sometimes,2,Normal_Weight
no,3,3,Sometimes,2,Normal_Weight
yes,2,3,Frequently,2,Overweight_Level_II
yes,2,3,Always,2,Obesity_Type_I
no,3,3,no,3,Insufficient_Weight
yes,2,3,Frequently,2,Overweight_Level_II
no,2,3,Sometimes,2,Normal_Weight
yes,2,1,Frequently,3,Normal_Weight
yes,2,3,Sometimes,2,Overweight_Level_I
yes,2,3,Frequently,2,Normal_Weight
yes,3,3,Sometimes,1,Overweight_Level_II
no,3,4,Always,1,Obesity_Type_II
no,3,3,Always,2,Normal_Weight
no,3,4,Frequently,3,Overweight_Level_I
no,3,3,Always,2,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
no,3,1,Frequently,2,Normal_Weight
no,2,3,Sometimes,2,Normal_Weight
no,3,1,Frequently,1,Insufficient_Weight
no,3,1,Frequently,1,Insufficient_Weight
no,2,3,Sometimes,2,Normal_Weight
yes,3,1,Sometimes,1,Normal_Weight
no,2,3,Frequently,2,Normal_Weight
yes,2,4,Frequently,2,Normal_Weight
yes,3,4,Frequently,2,Normal_Weight
yes,2,3,Sometimes,2,Obesity_Type_I
yes,2,1,Sometimes,2,Normal_Weight
yes,2,1,Sometimes,2,Normal_Weight
yes,2,3,Always,1,Overweight_Level_I
no,2,3,Sometimes,3,Obesity_Type_I
yes,3,1,Sometimes,3,Obesity_Type_I
yes,3,3,Sometimes,2,Normal_Weight
yes,2,1,Sometimes,1,Normal_Weight
yes,2,4,Frequently,2,Normal_Weight
no,2,1,Sometimes,2,Normal_Weight
yes,3,1,Frequently,2,Normal_Weight
yes,3,3,Frequently,2,Normal_Weight
yes,3,3,Sometimes,1,Obesity_Type_I
no,2,3,Frequently,2,Overweight_Level_II
yes,2,3,Sometimes,2,Normal_Weight
no,3,3,Frequently,3,Overweight_Level_II
yes,2,3,Frequently,2,Overweight_Level_I
yes,1,3,Frequently,2,Overweight_Level_II
no,3,4,Frequently,1,Insufficient_Weight
yes,3,1,Sometimes,2,Normal_Weight
yes,3,3,Sometimes,1,Overweight_Level_II
yes,2,3,Always,2,Overweight_Level_I
yes,2,3,Sometimes,2,Normal_Weight
yes,3,1,Sometimes,3,Normal_Weight
yes,3,3,Frequently,1,Normal_Weight
yes,3,3,Sometimes,3,Overweight_Level_II
yes,2,4,Frequently,2,Normal_Weight
no,2,3,Sometimes,1,Normal_Weight
yes,3,3,Frequently,3,Normal_Weight
yes,3,3,Always,2,Normal_Weight
yes,3,3,Sometimes,1,Obesity_Type_I
yes,2,3,Sometimes,2,Overweight_Level_I
yes,2,3,Sometimes,2,Normal_Weight
no,2,3,Sometimes,3,Obesity_Type_I
no,3,3,Always,3,Normal_Weight
yes,2,3,Frequently,2,Normal_Weight
yes,3,3,Frequently,3,Insufficient_Weight
yes,3,3,Always,2,Normal_Weight
yes,2,3,Frequently,1,Obesity_Type_I
yes,3,1,Sometimes,1,Overweight_Level_I
no,2,4,Sometimes,3,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
no,3,3,Frequently,2,Normal_Weight
no,3,3,Sometimes,1,Obesity_Type_I
yes,3,3,Always,2,Normal_Weight
yes,3,1,Sometimes,2,Obesity_Type_I
yes,2,1,Sometimes,2,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
yes,2,1,Always,2,Overweight_Level_I
no,2,3,Sometimes,3,Overweight_Level_II
yes,2,3,Sometimes,2,Obesity_Type_I
yes,3,1,Frequently,2,Normal_Weight
no,3,3,Frequently,1,Normal_Weight
yes,2,3,Frequently,2,Normal_Weight
no,3,3,Sometimes,3,Overweight_Level_I
yes,2,1,Sometimes,2,Overweight_Level_II
no,3,3,Sometimes,1,Normal_Weight
yes,2,3,Sometimes,2,Overweight_Level_II
yes,3,3,Always,2,Normal_Weight
no,3,3,Frequently,2,Normal_Weight
no,3,3,Frequently,3,Overweight_Level_II
no,2,3,Sometimes,1,Obesity_Type_II
