식품,소비기한 (일수),추천 보관법 (상세),적합 보관법
사과,30,"냉장 보관 (0~4℃), 습기 조절 가능하면 적합. 다른 과일과 분리하여 신문지로 감싸 보관.",냉장 보관 (0~4℃)
바나나,7,"실온 보관 (12~15℃), 냉장 보관 시 껍질이 검게 변할 수 있음. 꼭지를 랩으로 감싸 숙성 속도 조절.",실온 보관 (12~15℃)
포도,10,"냉장 보관 (4℃ 이하), 비닐이나 밀폐 용기에 씻지 않은 상태로 보관.",냉장 보관 (4℃ 이하)
키위,7,"미숙성은 실온 보관, 익으면 냉장 보관 (0~4℃). 사과와 함께 보관 시 숙성 가속.",냉장 보관 (0~4℃)
레몬,30,"냉장 보관 (4℃ 이하), 밀폐 용기나 비닐로 감싸 수분 유지. 자른 경우 랩으로 밀봉.",냉장 보관 (4℃ 이하)
망고,5,"미숙성은 실온 보관, 익으면 냉장 보관 (10℃ 이상). 꼭지를 아래로 두면 신선도 유지.",냉장 보관 (10℃ 이상)
오렌지,20,실온 또는 냉장 보관 가능 (4℃ 이하). 너무 차가운 온도에서는 풍미 손실 발생 가능.,냉장 보관 (4℃ 이하)
배,14,"냉장 보관 (0~4℃), 개별 포장하면 과육 손상 방지.",냉장 보관 (0~4℃)
파인애플,5,실온에서 숙성 후 냉장 보관. 자른 후 밀폐 용기에 담아 신선도 유지.,냉장 보관 (0~4℃)
석류,30,냉장 보관 (4℃ 이하). 알맹이를 분리해 냉동 보관 가능.,냉장 보관 (4℃ 이하)
수박,7,실온 보관 가능하나 자른 후에는 냉장 보관 (0~4℃) 필요. 자외선 차단 시 신선도 증가.,냉장 보관 (0~4℃)
비트,14,"냉장 보관 (4℃ 이하), 잎은 제거 후 뿌리만 보관. 뿌리를 랩으로 감싸면 수분 손실 방지.",냉장 보관 (4℃ 이하)
피망,14,"냉장 보관 (4℃ 이하), 종이 타월로 감싸 밀폐 용기에 보관하면 습도 조절 가능.",냉장 보관 (4℃ 이하)
양배추,30,냉장 보관 (0~4℃). 겉잎은 유지하여 보관하면 신선도 증가.,냉장 보관 (0~4℃)
당근,14,"냉장 보관 (4℃ 이하), 물기가 없도록 비닐 팩에 넣어 보관.",냉장 보관 (4℃ 이하)
콜리플라워,21,"냉장 보관 (0~4℃), 종이 타월로 감싸 보관. 봉투를 살짝 열어 습도 조절.",냉장 보관 (0~4℃)
고추,14,"냉장 보관 (4℃ 이하), 마른 상태로 밀폐 용기에 보관. 장기 보관 시 건조 상태로 보관.",냉장 보관 (4℃ 이하)
오이,10,냉장 보관 (7~10℃). 플라스틱 랩으로 감싸 수분 손실 방지.,냉장 보관 (7~10℃)
가지,7,실온 또는 냉장 보관 (7℃ 이상). 차가운 온도에서는 과육 손상 가능.,실온 보관 (7℃ 이상)
마늘,30,통풍이 잘되는 실온에서 보관. 밀폐 용기 사용 시 곰팡이 방지 필요.,실온 보관
생강,21,냉장 보관 (4℃ 이하). 랩으로 감싸 보관하면 신선도 유지.,냉장 보관 (4℃ 이하)
양파,30,통풍이 잘 되는 실온 보관. 감자와 분리 보관하여 싹 방지.,실온 보관
완두콩,7,냉장 보관 (4℃ 이하). 껍질째 보관 시 신선도 오래 유지 가능.,냉장 보관 (4℃ 이하)
감자,60,통풍이 잘 되는 실온 보관 (7~10℃). 냉장 보관 시 전분이 당으로 변할 수 있음.,실온 보관 (7~10℃)
무,14,냉장 보관 (4℃ 이하). 잎과 뿌리를 분리하여 보관.,냉장 보관 (4℃ 이하)
시금치,5,냉장 보관 (0~4℃). 종이 타월로 감싸 밀폐 용기에 보관.,냉장 보관 (0~4℃)
고구마,60,통풍이 잘 되는 실온 보관 (10~15℃). 냉장 보관 시 조직 손상 가능.,실온 보관 (10~15℃)
토마토,7,실온 보관 (15~20℃). 완숙 후 냉장 보관 가능.,실온 보관 (15~20℃)
상추,5,냉장 보관 (0~4℃). 물기 닿지 않도록 종이 타월로 싸서 보관.,냉장 보관 (0~4℃)
