c_temp_pv,k_rpm_pv,n_temp_pv,scale_pv,s_temp_pv
69.6,189.0,67.2,3.01,67.1
69.8,189.0,67.2,3.01,67.0
69.7,189.0,67.9,3.08,65.9
69.7,189.0,67.8,3.08,65.9
69.7,189.0,67.8,3.08,65.9
69.7,189.0,67.4,3.01,65.8
69.8,189.0,67.4,3.01,66.0
69.8,189.0,66.7,3.02,68.1
69.9,189.0,66.8,3.02,67.9
69.7,189.0,67.8,3.04,66.2
69.7,189.0,67.8,3.04,66.3
69.7,189.0,66.9,3.03,68.8
69.7,189.0,66.9,3.03,68.7
69.7,189.0,67.3,3.03,67.5
69.8,189.0,67.3,3.03,67.7
69.6,189.0,67.2,3.03,67.6
69.4,189.0,69.4,3.06,68.4
69.4,189.0,69.5,3.06,68.2
69.4,189.0,69.5,3.06,68.3
69.4,189.0,69.6,3.06,68.3
69.5,189.0,69.5,3.06,68.3
69.4,189.0,70.3,3.05,70.8
69.5,189.0,70.3,3.05,70.8
69.4,189.0,70.4,3.04,70.8
69.4,189.0,70.4,3.04,70.8
69.5,189.0,70.5,3.04,70.9
69.4,189.0,70.3,3.04,70.9
69.5,189.0,70.4,3.04,71.0
69.4,189.0,70.6,3.03,70.4
69.4,189.0,70.6,3.03,70.3
69.5,189.0,70.6,3.03,70.2
69.4,189.0,70.6,3.03,70.1
69.5,189.0,70.6,3.03,70.1
69.5,189.0,70.6,3.03,69.9
69.4,189.0,70.6,3.04,69.9
69.4,189.0,70.6,3.04,69.9
69.4,189.0,70.6,3.04,69.7
69.5,189.0,70.5,3.04,69.1
69.5,189.0,70.4,3.04,69.1
69.5,189.0,70.4,3.04,69.0
69.5,189.0,70.4,3.04,68.9
69.5,189.0,70.1,3.04,68.5
69.5,189.0,70.2,3.04,68.4
69.5,189.0,70.1,3.03,68.4
69.4,189.0,70.0,3.03,68.5
69.5,189.0,70.0,3.03,68.4
69.5,189.0,70.0,3.03,68.4
69.5,189.0,69.9,3.03,68.3
69.4,189.0,69.9,3.03,68.3
69.5,189.0,69.1,3.03,70.0
69.4,189.0,69.2,3.03,70.1
69.5,189.0,69.2,3.03,70.1
69.4,189.0,69.1,3.03,70.1
69.5,189.0,69.1,3.03,70.4
69.4,189.0,69.1,3.03,70.6
69.5,189.0,69.2,3.03,70.6
69.5,189.0,69.2,3.03,70.5
69.5,189.0,69.1,3.03,70.7
69.5,189.0,69.2,3.03,70.7
69.5,189.0,69.1,3.03,70.6
69.5,189.0,69.3,3.03,70.7
69.5,189.0,69.3,3.03,70.9
69.5,189.0,69.3,3.03,70.9
69.5,189.0,69.3,3.03,70.9
69.5,189.0,69.3,3.03,71.0
69.5,189.0,69.2,3.03,71.0
69.4,189.0,69.4,3.03,71.0
69.6,189.0,69.4,3.03,71.0
69.5,189.0,69.5,3.03,70.9
69.5,189.0,69.5,3.03,70.9
69.5,189.0,69.5,3.03,70.8
69.4,189.0,69.6,3.03,70.8
69.5,189.0,69.6,3.03,70.6
69.5,189.0,69.6,3.03,70.5
69.5,182.0,68.9,3.03,69.9
69.5,182.0,69.0,3.03,69.7
69.5,182.0,69.0,3.03,69.7
69.5,182.0,69.0,3.03,69.7
69.7,187.0,69.0,3.04,68.5
69.6,187.0,68.9,3.04,68.4
69.6,187.0,68.9,3.04,68.4
69.6,187.0,68.9,3.04,68.4
69.8,188.0,68.9,3.05,68.2
69.8,188.0,68.9,3.05,68.2
69.8,188.0,68.9,3.05,68.2
69.8,188.0,68.9,3.05,68.2
70.1,188.0,69.6,3.07,69.2
70.1,188.0,69.6,3.07,69.2
70.1,188.0,69.6,3.07,69.2
70.1,189.0,69.7,3.07,69.2
70.2,189.0,68.8,3.05,70.5
70.2,189.0,68.9,3.05,70.5
70.2,189.0,68.9,3.05,70.6
70.2,189.0,68.9,3.05,70.5
70.2,190.0,69.0,3.03,68.0
70.1,190.0,69.0,3.03,68.1
70.2,190.0,69.0,3.03,67.9
70.2,190.0,68.9,3.03,67.8
70.2,190.0,68.8,3.03,67.7
70.2,190.0,68.5,3.06,67.1
70.2,190.0,68.5,3.06,67.0
70.2,190.0,68.5,3.06,67.1
70.2,190.0,68.6,3.06,67.2
70.2,190.0,68.5,3.06,67.1
70.2,190.0,68.5,3.06,67.1
70.2,190.0,68.5,3.06,67.1
70.2,190.0,68.4,3.03,67.2
70.3,190.0,68.4,3.03,67.3
70.2,190.0,68.4,3.03,67.3
70.3,190.0,68.4,3.03,67.3
70.2,190.0,68.5,3.04,68.6
70.3,190.0,68.7,3.04,68.8
70.2,190.0,68.6,3.04,68.7
70.2,190.0,68.5,3.04,68.8
70.5,190.0,69.2,3.02,67.5
70.4,190.0,69.1,3.02,67.5
70.3,190.0,69.1,3.02,67.6
70.4,190.0,69.2,3.02,67.7
70.5,190.0,68.8,3.02,69.6
70.5,190.0,68.9,3.02,69.7
70.5,190.0,68.8,3.02,69.7
70.5,190.0,68.8,3.02,69.8
70.5,189.0,68.5,3.03,68.5
70.5,189.0,68.5,3.03,68.6
70.5,189.0,68.4,3.03,68.5
70.4,189.0,68.4,3.03,68.6
70.6,189.0,68.3,3.07,66.5
70.6,189.0,68.4,3.07,66.5
70.6,189.0,68.3,3.07,66.4
70.5,189.0,68.3,3.07,66.5
70.5,189.0,68.7,3.06,68.7
70.5,189.0,68.7,3.06,68.6
70.5,189.0,68.9,3.06,68.6
70.5,189.0,68.8,3.06,68.4
70.5,190.0,68.5,3.05,66.6
70.5,190.0,68.4,3.05,66.6
70.5,190.0,68.5,3.05,66.7
70.5,190.0,68.3,3.05,66.7
70.5,190.0,67.9,3.03,67.7
70.5,190.0,68.0,3.03,67.6
70.5,190.0,67.9,3.03,67.5
70.5,190.0,67.9,3.03,67.5
70.5,191.0,67.7,3.02,67.5
70.5,191.0,67.6,3.02,67.4
70.5,191.0,67.7,3.02,67.4
70.5,191.0,67.7,3.02,67.4
70.5,191.0,67.7,3.02,67.3
70.5,191.0,67.6,3.02,67.3
70.5,191.0,67.7,3.02,67.2
70.4,191.0,68.4,3.02,66.2
70.4,191.0,68.4,3.02,66.1
70.3,191.0,68.4,3.02,66.2
70.4,191.0,68.4,3.02,66.2
70.4,191.0,68.4,3.02,66.1
70.3,191.0,67.4,3.03,68.5
70.4,191.0,67.4,3.03,68.4
70.3,191.0,67.4,3.03,68.4
70.3,191.0,67.4,3.03,68.6
70.5,191.0,67.7,3.09,66.0
70.4,191.0,67.7,3.09,66.0
70.4,191.0,67.7,3.09,66.0
70.4,191.0,67.7,3.09,66.1
70.4,191.0,67.8,3.09,66.1
70.4,191.0,67.7,3.09,66.1
70.4,191.0,67.8,3.09,66.2
70.4,191.0,67.9,3.01,66.3
70.4,191.0,67.9,3.01,66.3
70.4,191.0,67.8,3.01,66.3
70.4,191.0,68.0,3.01,66.3
70.4,191.0,67.9,3.01,66.3
70.0,149.0,69.3,3.01,70.2
70.0,149.0,69.4,3.01,70.3
70.0,149.0,69.4,3.01,70.4
70.1,149.0,69.4,3.01,70.4
70.1,149.0,69.4,3.01,70.5
70.1,162.0,69.5,2.97,68.2
70.0,162.0,69.4,2.97,68.2
70.0,161.0,69.5,2.97,68.1
70.1,159.0,69.4,2.97,68.1
70.1,160.0,69.5,3.08,68.5
70.2,160.0,69.5,3.08,68.4
70.2,160.0,69.4,3.08,68.5
70.2,160.0,69.5,3.08,68.5
70.2,160.0,69.5,3.08,68.6
70.2,160.0,69.6,3.08,68.7
70.3,161.0,70.0,3.08,69.5
70.2,161.0,70.1,3.08,69.4
70.3,161.0,70.0,3.08,69.3
70.3,161.0,70.0,3.08,69.3
70.3,164.0,68.9,3.01,70.4
70.5,164.0,68.9,3.01,70.6
70.3,164.0,68.9,3.01,70.6
70.3,164.0,68.9,3.01,70.5
70.3,164.0,68.8,3.01,70.4
70.5,169.0,69.1,2.96,69.4
70.5,169.0,69.0,2.96,69.4
70.5,168.0,69.1,2.96,69.4
70.5,166.0,69.1,2.96,69.5
70.6,162.0,68.3,3.09,69.8
70.7,162.0,68.3,3.09,69.8
70.7,162.0,68.3,3.09,69.8
70.6,162.0,68.3,3.09,69.8
70.6,165.0,68.2,2.95,69.3
70.6,165.0,68.2,2.95,69.4
70.6,164.0,68.1,2.95,69.3
70.7,161.0,68.2,2.95,69.4
70.5,146.0,68.4,3.08,67.0
70.5,146.0,68.4,3.08,67.1
70.5,146.0,68.3,3.08,67.1
70.5,146.0,68.4,3.08,67.1
70.5,173.0,68.2,3.09,68.3
70.5,173.0,68.2,3.09,68.4
70.5,174.0,68.1,3.09,68.2
70.5,176.0,68.1,3.09,68.1
70.5,178.0,68.0,3.09,68.1
70.5,182.0,67.2,2.99,67.0
70.5,182.0,67.2,2.99,67.1
70.5,182.0,67.3,2.99,67.1
70.5,180.0,67.2,2.99,67.1
70.5,179.0,68.2,3.05,67.4
70.5,179.0,68.3,3.05,67.6
70.5,179.0,68.3,3.05,67.5
70.5,179.0,68.1,3.05,67.6
70.5,188.0,67.9,3.02,66.4
70.6,188.0,68.0,3.02,66.4
70.5,188.0,67.9,3.02,66.4
70.5,188.0,68.0,3.02,66.4
70.5,188.0,68.0,3.02,66.6
70.6,185.0,68.1,3.04,68.7
70.6,185.0,68.2,3.04,68.7
70.6,185.0,68.1,3.04,68.7
70.6,185.0,68.2,3.04,68.7
70.5,185.0,68.2,3.04,68.6
70.5,185.0,67.5,3.04,66.3
70.5,185.0,67.5,3.04,66.3
70.6,185.0,67.6,3.04,66.2
70.5,185.0,67.6,3.04,66.2
70.4,181.0,67.0,3.07,67.7
70.5,181.0,67.0,3.07,67.9
70.5,181.0,66.9,3.07,67.8
70.5,181.0,66.9,3.07,67.9
70.4,181.0,67.0,3.07,68.0
70.2,181.0,66.5,3.09,65.6
70.2,181.0,66.6,3.09,65.7
70.2,182.0,66.5,3.09,65.9
