time,E_scr_pv,E_scr_sv,c_temp_pv,c_temp_sv,k_rpm_pv,k_rpm_sv,n_temp_pv,n_temp_sv,scale_pv,s_temp_pv,s_temp_sv
2023-05-18T15:09:19.018900Z,8,8,69.6,70,189,180,67.2,70,3.01,67.1,70
2023-05-18T15:09:20.128150Z,8,8,69.8,70,189,180,67.2,70,3.01,67.0,70
2023-05-18T15:12:38.819460Z,8,8,69.7,70,189,180,67.9,70,3.08,65.9,70
2023-05-18T15:12:39.958188Z,8,8,69.7,70,189,180,67.8,70,3.08,65.9,70
2023-05-18T15:12:41.050178Z,8,8,69.7,70,189,180,67.8,70,3.08,65.9,70
2023-05-18T15:12:49.009516Z,8,8,69.7,70,189,180,67.4,70,3.01,65.8,70
2023-05-18T15:12:50.064108Z,8,8,69.8,70,189,180,67.4,70,3.01,66.0,70
2023-05-18T15:13:23.566707Z,8,8,69.8,70,189,180,66.7,70,3.02,68.1,70
2023-05-18T15:13:24.611189Z,8,8,69.9,70,189,180,66.8,70,3.02,67.9,70
2023-05-18T15:13:55.251018Z,8,8,69.7,70,189,180,67.8,70,3.04,66.2,70
2023-05-18T15:13:56.311126Z,8,8,69.7,70,189,180,67.8,70,3.04,66.3,70
2023-05-18T15:14:25.806134Z,8,8,69.7,70,189,180,66.9,70,3.03,68.8,70
2023-05-18T15:14:26.846427Z,8,8,69.7,70,189,180,66.9,70,3.03,68.7,70
2023-05-18T15:15:20.566815Z,8,8,69.7,70,189,180,67.3,70,3.03,67.5,70
2023-05-18T15:15:21.599380Z,8,8,69.8,70,189,180,67.3,70,3.03,67.7,70
2023-05-18T15:15:22.636430Z,8,8,69.6,70,189,180,67.2,70,3.03,67.6,70
2023-05-18T15:19:15.731824Z,8,8,69.4,70,189,180,69.4,70,3.06,68.4,70
2023-05-18T15:19:16.200523Z,8,8,69.4,70,189,180,69.5,70,3.06,68.2,70
2023-05-18T15:19:16.653731Z,8,8,69.4,70,189,180,69.5,70,3.06,68.3,70
2023-05-18T15:19:17.144581Z,8,8,69.4,70,189,180,69.6,70,3.06,68.3,70
2023-05-18T15:19:17.592175Z,8,8,69.5,70,189,180,69.5,70,3.06,68.3,70
2023-05-18T15:19:44.420958Z,8,8,69.4,70,189,180,70.3,70,3.05,70.8,70
2023-05-18T15:19:44.858629Z,8,8,69.5,70,189,180,70.3,70,3.05,70.8,70
2023-05-18T15:19:45.299394Z,8,8,69.4,70,189,180,70.4,70,3.04,70.8,70
2023-05-18T15:19:45.767063Z,8,8,69.4,70,189,180,70.4,70,3.04,70.8,70
2023-05-18T15:19:46.208047Z,8,8,69.5,70,189,180,70.5,70,3.04,70.9,70
2023-05-18T15:19:46.648814Z,8,8,69.4,70,189,180,70.3,70,3.04,70.9,70
2023-05-18T15:19:47.091149Z,8,8,69.5,70,189,180,70.4,70,3.04,71.0,70
2023-05-18T15:19:54.281202Z,8,8,69.4,70,189,180,70.6,70,3.03,70.4,70
2023-05-18T15:19:54.718653Z,8,8,69.4,70,189,180,70.6,70,3.03,70.3,70
2023-05-18T15:19:55.179094Z,8,8,69.5,70,189,180,70.6,70,3.03,70.2,70
2023-05-18T15:19:55.636306Z,8,8,69.4,70,189,180,70.6,70,3.03,70.1,70
2023-05-18T15:19:56.071052Z,8,8,69.5,70,189,180,70.6,70,3.03,70.1,70
2023-05-18T15:19:56.512035Z,8,8,69.5,70,189,180,70.6,70,3.03,69.9,70
2023-05-18T15:19:56.984051Z,8,8,69.4,70,189,180,70.6,70,3.04,69.9,70
2023-05-18T15:19:57.434062Z,8,8,69.4,70,189,180,70.6,70,3.04,69.9,70
2023-05-18T15:19:57.934212Z,8,8,69.4,70,189,180,70.6,70,3.04,69.7,70
2023-05-18T15:20:03.089824Z,8,8,69.5,70,189,180,70.5,70,3.04,69.1,70
2023-05-18T15:20:03.527358Z,8,8,69.5,70,189,180,70.4,70,3.04,69.1,70
2023-05-18T15:20:03.975048Z,8,8,69.5,70,189,180,70.4,70,3.04,69.0,70
2023-05-18T15:20:04.431425Z,8,8,69.5,70,189,180,70.4,70,3.04,68.9,70
2023-05-18T15:20:08.576450Z,8,8,69.5,70,189,180,70.1,70,3.04,68.5,70
2023-05-18T15:20:09.014096Z,8,8,69.5,70,189,180,70.2,70,3.04,68.4,70
2023-05-18T15:20:09.452280Z,8,8,69.5,70,189,180,70.1,70,3.03,68.4,70
2023-05-18T15:20:09.889733Z,8,8,69.4,70,189,180,70.0,70,3.03,68.5,70
2023-05-18T15:20:10.328102Z,8,8,69.5,70,189,180,70.0,70,3.03,68.4,70
2023-05-18T15:20:10.768866Z,8,8,69.5,70,189,180,70.0,70,3.03,68.4,70
2023-05-18T15:20:11.212961Z,8,8,69.5,70,189,180,69.9,70,3.03,68.3,70
2023-05-18T15:20:11.669361Z,8,8,69.4,70,189,180,69.9,70,3.03,68.3,70
2023-05-18T15:20:32.764141Z,8,8,69.5,70,189,180,69.1,70,3.03,70.0,70
2023-05-18T15:20:33.267400Z,8,8,69.4,70,189,180,69.2,70,3.03,70.1,70
2023-05-18T15:20:33.715170Z,8,8,69.5,70,189,180,69.2,70,3.03,70.1,70
2023-05-18T15:20:34.156137Z,8,8,69.4,70,189,180,69.1,70,3.03,70.1,70
2023-05-18T15:20:37.656177Z,8,8,69.5,70,189,180,69.1,70,3.03,70.4,70
2023-05-18T15:20:38.097073Z,8,8,69.4,70,189,180,69.1,70,3.03,70.6,70
2023-05-18T15:20:38.569022Z,8,8,69.5,70,189,180,69.2,70,3.03,70.6,70
2023-05-18T15:20:39.013385Z,8,8,69.5,70,189,180,69.2,70,3.03,70.5,70
2023-05-18T15:20:39.451058Z,8,8,69.5,70,189,180,69.1,70,3.03,70.7,70
2023-05-18T15:20:39.889216Z,8,8,69.5,70,189,180,69.2,70,3.03,70.7,70
2023-05-18T15:20:40.389179Z,8,8,69.5,70,189,180,69.1,70,3.03,70.6,70
2023-05-18T15:20:40.830742Z,8,8,69.5,70,189,180,69.3,70,3.03,70.7,70
2023-05-18T15:20:42.448029Z,8,8,69.5,70,189,180,69.3,70,3.03,70.9,70
2023-05-18T15:20:42.885502Z,8,8,69.5,70,189,180,69.3,70,3.03,70.9,70
2023-05-18T15:20:43.338602Z,8,8,69.5,70,189,180,69.3,70,3.03,70.9,70
2023-05-18T15:20:43.782846Z,8,8,69.5,70,189,180,69.3,70,3.03,71.0,70
2023-05-18T15:20:44.223773Z,8,8,69.5,70,189,180,69.2,70,3.03,71.0,70
2023-05-18T15:20:48.458227Z,8,8,69.4,70,189,180,69.4,70,3.03,71.0,70
2023-05-18T15:20:48.911228Z,8,8,69.6,70,189,180,69.4,70,3.03,71.0,70
2023-05-18T15:20:49.348763Z,8,8,69.5,70,189,180,69.5,70,3.03,70.9,70
2023-05-18T15:20:49.793366Z,8,8,69.5,70,189,180,69.5,70,3.03,70.9,70
2023-05-18T15:20:50.237370Z,8,8,69.5,70,189,180,69.5,70,3.03,70.8,70
2023-05-18T15:20:50.791135Z,8,8,69.4,70,189,180,69.6,70,3.03,70.8,70
2023-05-18T15:20:51.271460Z,8,8,69.5,70,189,180,69.6,70,3.03,70.6,70
2023-05-18T15:20:51.811724Z,8,8,69.5,70,189,180,69.6,70,3.03,70.5,70
2023-05-18T16:12:39.118338Z,8,8,69.5,70,182,180,68.9,70,3.03,69.9,70
2023-05-18T16:12:39.621878Z,8,8,69.5,70,182,180,69.0,70,3.03,69.7,70
2023-05-18T16:12:40.047270Z,8,8,69.5,70,182,180,69.0,70,3.03,69.7,70
2023-05-18T16:12:40.489148Z,8,8,69.5,70,182,180,69.0,70,3.03,69.7,70
2023-05-18T16:13:54.633191Z,8,8,69.7,70,187,180,69.0,70,3.04,68.5,70
2023-05-18T16:13:55.055024Z,8,8,69.6,70,187,180,68.9,70,3.04,68.4,70
2023-05-18T16:13:55.476854Z,8,8,69.6,70,187,180,68.9,70,3.04,68.4,70
2023-05-18T16:13:55.926678Z,8,8,69.6,70,187,180,68.9,70,3.04,68.4,70
2023-05-18T16:15:06.357314Z,8,8,69.8,70,188,180,68.9,70,3.05,68.2,70
2023-05-18T16:15:06.779359Z,8,8,69.8,70,188,180,68.9,70,3.05,68.2,70
2023-05-18T16:15:07.229606Z,8,8,69.8,70,188,180,68.9,70,3.05,68.2,70
2023-05-18T16:15:07.670730Z,8,8,69.8,70,188,180,68.9,70,3.05,68.2,70
2023-05-18T16:17:10.235010Z,8,8,70.1,70,188,180,69.6,70,3.07,69.2,70
2023-05-18T16:17:10.672508Z,8,8,70.1,70,188,180,69.6,70,3.07,69.2,70
2023-05-18T16:17:11.098010Z,8,8,70.1,70,188,180,69.6,70,3.07,69.2,70
2023-05-18T16:17:11.733341Z,8,8,70.1,70,189,180,69.7,70,3.07,69.2,70
2023-05-18T16:18:02.181375Z,8,8,70.2,70,189,180,68.8,70,3.05,70.5,70
2023-05-18T16:18:02.647301Z,8,8,70.2,70,189,180,68.9,70,3.05,70.5,70
2023-05-18T16:18:03.091688Z,8,8,70.2,70,189,180,68.9,70,3.05,70.6,70
2023-05-18T16:18:03.517200Z,8,8,70.2,70,189,180,68.9,70,3.05,70.5,70
2023-05-18T16:18:30.758512Z,8,8,70.2,70,190,180,69.0,70,3.03,68.0,70
2023-05-18T16:18:31.196122Z,8,8,70.1,70,190,180,69.0,70,3.03,68.1,70
2023-05-18T16:18:31.637111Z,8,8,70.2,70,190,180,69.0,70,3.03,67.9,70
2023-05-18T16:18:32.065888Z,8,8,70.2,70,190,180,68.9,70,3.03,67.8,70
2023-05-18T16:18:32.488562Z,8,8,70.2,70,190,180,68.8,70,3.03,67.7,70
2023-05-18T16:18:46.050314Z,8,8,70.2,70,190,180,68.5,70,3.06,67.1,70
2023-05-18T16:18:46.568771Z,8,8,70.2,70,190,180,68.5,70,3.06,67.0,70
2023-05-18T16:18:47.009887Z,8,8,70.2,70,190,180,68.5,70,3.06,67.1,70
2023-05-18T16:18:47.428796Z,8,8,70.2,70,190,180,68.6,70,3.06,67.2,70
2023-05-18T16:18:47.854222Z,8,8,70.2,70,190,180,68.5,70,3.06,67.1,70
2023-05-18T16:18:48.303335Z,8,8,70.2,70,190,180,68.5,70,3.06,67.1,70
2023-05-18T16:18:48.725931Z,8,8,70.2,70,190,180,68.5,70,3.06,67.1,70
2023-05-18T16:18:51.232592Z,8,8,70.2,70,190,180,68.4,70,3.03,67.2,70
2023-05-18T16:18:51.673532Z,8,8,70.3,70,190,180,68.4,70,3.03,67.3,70
2023-05-18T16:18:52.211663Z,8,8,70.2,70,190,180,68.4,70,3.03,67.3,70
2023-05-18T16:18:52.655930Z,8,8,70.3,70,190,180,68.4,70,3.03,67.3,70
2023-05-18T16:19:06.492752Z,8,8,70.2,70,190,180,68.5,70,3.04,68.6,70
2023-05-18T16:19:06.914583Z,8,8,70.3,70,190,180,68.7,70,3.04,68.8,70
